id;categoria;tema;dificuldade;cenario;pergunta;alternativa_a;alternativa_b;alternativa_c;alternativa_d;resposta_correta;explicacao;sinal_de_risco;nivel_alerta;pontos;tempo_segundos;ativo
11;Phishing por e-mail;Anexo compactado;Fácil;Um e-mail informa que há documentos fiscais em arquivo compactado com senha no corpo da mensagem.;Qual é a atitude mais segura nessa situação?;Inserir login e senha para liberar o suposto documento.;Não abrir o anexo e enviar o e-mail para análise da TI ou segurança.;Aprovar o pedido porque menciona nota fiscal ou cobrança.;Responder rapidamente para não atrasar a operação.;B;A opção correta reduz o risco porque mantém a validação no canal autorizado e evita ação impulsiva. O principal sinal de alerta é: anexo compactado com senha e contexto inesperado.;anexo compactado com senha e contexto inesperado;Alerta Amarelo;10;35;sim
12;Phishing por e-mail;Anexo compactado;Médio;No ambiente corporativo, um e-mail informa que há documentos fiscais em arquivo compactado com senha no corpo da mensagem.;Antes de seguir, qual ação reduz melhor o risco?;Responder rapidamente para não atrasar a operação.;Executar o pedido e revisar a segurança depois.;Ignorar o fluxo oficial porque parece uma solicitação simples.;Não abrir o anexo e enviar o e-mail para análise da TI ou segurança.;D;A opção correta reduz o risco porque mantém a validação no canal autorizado e evita ação impulsiva. O principal sinal de alerta é: anexo compactado com senha e contexto inesperado.;anexo compactado com senha e contexto inesperado;Alerta Laranja;15;45;sim
13;Phishing por e-mail;Anexo compactado;Médio;Durante a rotina de trabalho, um e-mail informa que há documentos fiscais em arquivo compactado com senha no corpo da mensagem.;Qual resposta mantém o processo corporativo seguro?;Ignorar o fluxo oficial porque parece uma solicitação simples.;Não abrir o anexo e enviar o e-mail para análise da TI ou segurança.;Compartilhar as informações pedidas para ganhar tempo.;Confiar apenas no nome exibido na mensagem.;B;A opção correta reduz o risco porque mantém a validação no canal autorizado e evita ação impulsiva. O principal sinal de alerta é: anexo compactado com senha e contexto inesperado.;anexo compactado com senha e contexto inesperado;Alerta Laranja;15;45;sim
14;Phishing por e-mail;Anexo compactado;Difícil;Em um atendimento interno, um e-mail informa que há documentos fiscais em arquivo compactado com senha no corpo da mensagem.;O que o colaborador deve fazer para evitar o golpe?;Confiar apenas no nome exibido na mensagem.;Encaminhar o caso para um colega resolver sem registrar.;Fazer o procedimento fora do canal corporativo autorizado.;Não abrir o anexo e enviar o e-mail para análise da TI ou segurança.;D;A opção correta reduz o risco porque mantém a validação no canal autorizado e evita ação impulsiva. O principal sinal de alerta é: anexo compactado com senha e contexto inesperado.;anexo compactado com senha e contexto inesperado;Alerta Vermelho;20;60;sim
15;Phishing por e-mail;Anexo compactado;Difícil;Você está analisando uma solicitação: um e-mail informa que há documentos fiscais em arquivo compactado com senha no corpo da mensagem.;Qual decisão demonstra melhor comportamento de segurança?;Fazer o procedimento fora do canal corporativo autorizado.;Não abrir o anexo e enviar o e-mail para análise da TI ou segurança.;Assumir que é seguro porque a mensagem parece profissional.;Baixar o anexo e abrir para confirmar o conteúdo.;B;A opção correta reduz o risco porque mantém a validação no canal autorizado e evita ação impulsiva. O principal sinal de alerta é: anexo compactado com senha e contexto inesperado.;anexo compactado com senha e contexto inesperado;Alerta Vermelho;20;60;sim
16;Phishing por e-mail;Link encurtado;Fácil;Um e-mail pede atualização cadastral usando um link encurtado e prazo de poucas horas.;Qual é a atitude mais segura nessa situação?;Compartilhar as informações pedidas para ganhar tempo.;Confiar apenas no nome exibido na mensagem.;Encaminhar o caso para um colega resolver sem registrar.;Acessar o sistema digitando o endereço oficial no navegador, sem usar o link do e-mail.;D;A opção correta reduz o risco porque mantém a validação no canal autorizado e evita ação impulsiva. O principal sinal de alerta é: link encurtado + ameaça de bloqueio.;link encurtado + ameaça de bloqueio;Alerta Amarelo;10;35;sim
17;Phishing por e-mail;Link encurtado;Médio;No ambiente corporativo, um e-mail pede atualização cadastral usando um link encurtado e prazo de poucas horas.;Antes de seguir, qual ação reduz melhor o risco?;Encaminhar o caso para um colega resolver sem registrar.;Acessar o sistema digitando o endereço oficial no navegador, sem usar o link do e-mail.;Fazer o procedimento fora do canal corporativo autorizado.;Assumir que é seguro porque a mensagem parece profissional.;B;A opção correta reduz o risco porque mantém a validação no canal autorizado e evita ação impulsiva. O principal sinal de alerta é: link encurtado + ameaça de bloqueio.;link encurtado + ameaça de bloqueio;Alerta Laranja;15;45;sim
18;Phishing por e-mail;Link encurtado;Médio;Durante a rotina de trabalho, um e-mail pede atualização cadastral usando um link encurtado e prazo de poucas horas.;Qual resposta mantém o processo corporativo seguro?;Assumir que é seguro porque a mensagem parece profissional.;Baixar o anexo e abrir para confirmar o conteúdo.;Clicar no link para verificar se a página parece legítima.;Acessar o sistema digitando o endereço oficial no navegador, sem usar o link do e-mail.;D;A opção correta reduz o risco porque mantém a validação no canal autorizado e evita ação impulsiva. O principal sinal de alerta é: link encurtado + ameaça de bloqueio.;link encurtado + ameaça de bloqueio;Alerta Laranja;15;45;sim
19;Phishing por e-mail;Link encurtado;Difícil;Em um atendimento interno, um e-mail pede atualização cadastral usando um link encurtado e prazo de poucas horas.;O que o colaborador deve fazer para evitar o golpe?;Clicar no link para verificar se a página parece legítima.;Acessar o sistema digitando o endereço oficial no navegador, sem usar o link do e-mail.;Responder ao e-mail pedindo mais detalhes ao remetente externo.;Inserir login e senha para liberar o suposto documento.;B;A opção correta reduz o risco porque mantém a validação no canal autorizado e evita ação impulsiva. O principal sinal de alerta é: link encurtado + ameaça de bloqueio.;link encurtado + ameaça de bloqueio;Alerta Vermelho;20;60;sim
20;Phishing por e-mail;Link encurtado;Difícil;Você está analisando uma solicitação: um e-mail pede atualização cadastral usando um link encurtado e prazo de poucas horas.;Qual decisão demonstra melhor comportamento de segurança?;Inserir login e senha para liberar o suposto documento.;Aprovar o pedido porque menciona nota fiscal ou cobrança.;Responder rapidamente para não atrasar a operação.;Acessar o sistema digitando o endereço oficial no navegador, sem usar o link do e-mail.;D;A opção correta reduz o risco porque mantém a validação no canal autorizado e evita ação impulsiva. O principal sinal de alerta é: link encurtado + ameaça de bloqueio.;link encurtado + ameaça de bloqueio;Alerta Vermelho;20;60;sim
21;Phishing por e-mail;Nota fiscal falsa;Fácil;Chega uma suposta nota fiscal de serviço que a empresa não reconhece.;Qual é a atitude mais segura nessa situação?;Baixar o anexo e abrir para confirmar o conteúdo.;Validar a compra internamente e não abrir anexos até confirmar a origem.;Clicar no link para verificar se a página parece legítima.;Responder ao e-mail pedindo mais detalhes ao remetente externo.;B;A opção correta reduz o risco porque mantém a validação no canal autorizado e evita ação impulsiva. O principal sinal de alerta é: nota inesperada + anexo desconhecido.;nota inesperada + anexo desconhecido;Alerta Amarelo;10;35;sim
22;Phishing por e-mail;Nota fiscal falsa;Médio;No ambiente corporativo, chega uma suposta nota fiscal de serviço que a empresa não reconhece.;Antes de seguir, qual ação reduz melhor o risco?;Responder ao e-mail pedindo mais detalhes ao remetente externo.;Inserir login e senha para liberar o suposto documento.;Aprovar o pedido porque menciona nota fiscal ou cobrança.;Validar a compra internamente e não abrir anexos até confirmar a origem.;D;A opção correta reduz o risco porque mantém a validação no canal autorizado e evita ação impulsiva. O principal sinal de alerta é: nota inesperada + anexo desconhecido.;nota inesperada + anexo desconhecido;Alerta Laranja;15;45;sim
23;Phishing por e-mail;Nota fiscal falsa;Médio;Durante a rotina de trabalho, chega uma suposta nota fiscal de serviço que a empresa não reconhece.;Qual resposta mantém o processo corporativo seguro?;Aprovar o pedido porque menciona nota fiscal ou cobrança.;Validar a compra internamente e não abrir anexos até confirmar a origem.;Responder rapidamente para não atrasar a operação.;Executar o pedido e revisar a segurança depois.;B;A opção correta reduz o risco porque mantém a validação no canal autorizado e evita ação impulsiva. O principal sinal de alerta é: nota inesperada + anexo desconhecido.;nota inesperada + anexo desconhecido;Alerta Laranja;15;45;sim
24;Phishing por e-mail;Nota fiscal falsa;Difícil;Em um atendimento interno, chega uma suposta nota fiscal de serviço que a empresa não reconhece.;O que o colaborador deve fazer para evitar o golpe?;Executar o pedido e revisar a segurança depois.;Ignorar o fluxo oficial porque parece uma solicitação simples.;Compartilhar as informações pedidas para ganhar tempo.;Validar a compra internamente e não abrir anexos até confirmar a origem.;D;A opção correta reduz o risco porque mantém a validação no canal autorizado e evita ação impulsiva. O principal sinal de alerta é: nota inesperada + anexo desconhecido.;nota inesperada + anexo desconhecido;Alerta Vermelho;20;60;sim
25;Phishing por e-mail;Nota fiscal falsa;Difícil;Você está analisando uma solicitação: chega uma suposta nota fiscal de serviço que a empresa não reconhece.;Qual decisão demonstra melhor comportamento de segurança?;Compartilhar as informações pedidas para ganhar tempo.;Validar a compra internamente e não abrir anexos até confirmar a origem.;Confiar apenas no nome exibido na mensagem.;Encaminhar o caso para um colega resolver sem registrar.;B;A opção correta reduz o risco porque mantém a validação no canal autorizado e evita ação impulsiva. O principal sinal de alerta é: nota inesperada + anexo desconhecido.;nota inesperada + anexo desconhecido;Alerta Vermelho;20;60;sim
26;Phishing por e-mail;Pedido de senha;Fácil;Um e-mail se passa por suporte e pede sua senha para resolver uma falha de acesso.;Qual é a atitude mais segura nessa situação?;Responder rapidamente para não atrasar a operação.;Executar o pedido e revisar a segurança depois.;Ignorar o fluxo oficial porque parece uma solicitação simples.;Nunca informar senha por e-mail e reportar a tentativa imediatamente.;D;A opção correta reduz o risco porque mantém a validação no canal autorizado e evita ação impulsiva. O principal sinal de alerta é: pedido direto de senha.;pedido direto de senha;Alerta Amarelo;10;35;sim
27;Phishing por e-mail;Pedido de senha;Médio;No ambiente corporativo, um e-mail se passa por suporte e pede sua senha para resolver uma falha de acesso.;Antes de seguir, qual ação reduz melhor o risco?;Ignorar o fluxo oficial porque parece uma solicitação simples.;Nunca informar senha por e-mail e reportar a tentativa imediatamente.;Compartilhar as informações pedidas para ganhar tempo.;Confiar apenas no nome exibido na mensagem.;B;A opção correta reduz o risco porque mantém a validação no canal autorizado e evita ação impulsiva. O principal sinal de alerta é: pedido direto de senha.;pedido direto de senha;Alerta Laranja;15;45;sim
28;Phishing por e-mail;Pedido de senha;Médio;Durante a rotina de trabalho, um e-mail se passa por suporte e pede sua senha para resolver uma falha de acesso.;Qual resposta mantém o processo corporativo seguro?;Confiar apenas no nome exibido na mensagem.;Encaminhar o caso para um colega resolver sem registrar.;Fazer o procedimento fora do canal corporativo autorizado.;Nunca informar senha por e-mail e reportar a tentativa imediatamente.;D;A opção correta reduz o risco porque mantém a validação no canal autorizado e evita ação impulsiva. O principal sinal de alerta é: pedido direto de senha.;pedido direto de senha;Alerta Laranja;15;45;sim
29;Phishing por e-mail;Pedido de senha;Difícil;Em um atendimento interno, um e-mail se passa por suporte e pede sua senha para resolver uma falha de acesso.;O que o colaborador deve fazer para evitar o golpe?;Fazer o procedimento fora do canal corporativo autorizado.;Nunca informar senha por e-mail e reportar a tentativa imediatamente.;Assumir que é seguro porque a mensagem parece profissional.;Baixar o anexo e abrir para confirmar o conteúdo.;B;A opção correta reduz o risco porque mantém a validação no canal autorizado e evita ação impulsiva. O principal sinal de alerta é: pedido direto de senha.;pedido direto de senha;Alerta Vermelho;20;60;sim
30;Phishing por e-mail;Pedido de senha;Difícil;Você está analisando uma solicitação: um e-mail se passa por suporte e pede sua senha para resolver uma falha de acesso.;Qual decisão demonstra melhor comportamento de segurança?;Baixar o anexo e abrir para confirmar o conteúdo.;Clicar no link para verificar se a página parece legítima.;Responder ao e-mail pedindo mais detalhes ao remetente externo.;Nunca informar senha por e-mail e reportar a tentativa imediatamente.;D;A opção correta reduz o risco porque mantém a validação no canal autorizado e evita ação impulsiva. O principal sinal de alerta é: pedido direto de senha.;pedido direto de senha;Alerta Vermelho;20;60;sim
31;Phishing por e-mail;QR Code em e-mail;Fácil;Um e-mail pede pagamento de uma taxa via QR Code para regularizar cadastro.;Qual é a atitude mais segura nessa situação?;Encaminhar o caso para um colega resolver sem registrar.;Validar a cobrança no sistema financeiro oficial antes de escanear ou pagar.;Fazer o procedimento fora do canal corporativo autorizado.;Assumir que é seguro porque a mensagem parece profissional.;B;A opção correta reduz o risco porque mantém a validação no canal autorizado e evita ação impulsiva. O principal sinal de alerta é: QR Code inesperado para pagamento.;QR Code inesperado para pagamento;Alerta Amarelo;10;35;sim
32;Phishing por e-mail;QR Code em e-mail;Médio;No ambiente corporativo, um e-mail pede pagamento de uma taxa via QR Code para regularizar cadastro.;Antes de seguir, qual ação reduz melhor o risco?;Assumir que é seguro porque a mensagem parece profissional.;Baixar o anexo e abrir para confirmar o conteúdo.;Clicar no link para verificar se a página parece legítima.;Validar a cobrança no sistema financeiro oficial antes de escanear ou pagar.;D;A opção correta reduz o risco porque mantém a validação no canal autorizado e evita ação impulsiva. O principal sinal de alerta é: QR Code inesperado para pagamento.;QR Code inesperado para pagamento;Alerta Laranja;15;45;sim
33;Phishing por e-mail;QR Code em e-mail;Médio;Durante a rotina de trabalho, um e-mail pede pagamento de uma taxa via QR Code para regularizar cadastro.;Qual resposta mantém o processo corporativo seguro?;Clicar no link para verificar se a página parece legítima.;Validar a cobrança no sistema financeiro oficial antes de escanear ou pagar.;Responder ao e-mail pedindo mais detalhes ao remetente externo.;Inserir login e senha para liberar o suposto documento.;B;A opção correta reduz o risco porque mantém a validação no canal autorizado e evita ação impulsiva. O principal sinal de alerta é: QR Code inesperado para pagamento.;QR Code inesperado para pagamento;Alerta Laranja;15;45;sim
34;Phishing por e-mail;QR Code em e-mail;Difícil;Em um atendimento interno, um e-mail pede pagamento de uma taxa via QR Code para regularizar cadastro.;O que o colaborador deve fazer para evitar o golpe?;Inserir login e senha para liberar o suposto documento.;Aprovar o pedido porque menciona nota fiscal ou cobrança.;Responder rapidamente para não atrasar a operação.;Validar a cobrança no sistema financeiro oficial antes de escanear ou pagar.;D;A opção correta reduz o risco porque mantém a validação no canal autorizado e evita ação impulsiva. O principal sinal de alerta é: QR Code inesperado para pagamento.;QR Code inesperado para pagamento;Alerta Vermelho;20;60;sim
35;Phishing por e-mail;QR Code em e-mail;Difícil;Você está analisando uma solicitação: um e-mail pede pagamento de uma taxa via QR Code para regularizar cadastro.;Qual decisão demonstra melhor comportamento de segurança?;Responder rapidamente para não atrasar a operação.;Validar a cobrança no sistema financeiro oficial antes de escanear ou pagar.;Executar o pedido e revisar a segurança depois.;Ignorar o fluxo oficial porque parece uma solicitação simples.;B;A opção correta reduz o risco porque mantém a validação no canal autorizado e evita ação impulsiva. O principal sinal de alerta é: QR Code inesperado para pagamento.;QR Code inesperado para pagamento;Alerta Vermelho;20;60;sim
36;Phishing por e-mail;Ameaça de bloqueio;Fácil;Mensagem diz que sua conta será bloqueada hoje se você não confirmar dados.;Qual é a atitude mais segura nessa situação?;Responder ao e-mail pedindo mais detalhes ao remetente externo.;Inserir login e senha para liberar o suposto documento.;Aprovar o pedido porque menciona nota fiscal ou cobrança.;Não usar o link recebido e confirmar o aviso pelo portal oficial da empresa.;D;A opção correta reduz o risco porque mantém a validação no canal autorizado e evita ação impulsiva. O principal sinal de alerta é: urgência extrema e ameaça de bloqueio.;urgência extrema e ameaça de bloqueio;Alerta Amarelo;10;35;sim
37;Phishing por e-mail;Ameaça de bloqueio;Médio;No ambiente corporativo, mensagem diz que sua conta será bloqueada hoje se você não confirmar dados.;Antes de seguir, qual ação reduz melhor o risco?;Aprovar o pedido porque menciona nota fiscal ou cobrança.;Não usar o link recebido e confirmar o aviso pelo portal oficial da empresa.;Responder rapidamente para não atrasar a operação.;Executar o pedido e revisar a segurança depois.;B;A opção correta reduz o risco porque mantém a validação no canal autorizado e evita ação impulsiva. O principal sinal de alerta é: urgência extrema e ameaça de bloqueio.;urgência extrema e ameaça de bloqueio;Alerta Laranja;15;45;sim
38;Phishing por e-mail;Ameaça de bloqueio;Médio;Durante a rotina de trabalho, mensagem diz que sua conta será bloqueada hoje se você não confirmar dados.;Qual resposta mantém o processo corporativo seguro?;Executar o pedido e revisar a segurança depois.;Ignorar o fluxo oficial porque parece uma solicitação simples.;Compartilhar as informações pedidas para ganhar tempo.;Não usar o link recebido e confirmar o aviso pelo portal oficial da empresa.;D;A opção correta reduz o risco porque mantém a validação no canal autorizado e evita ação impulsiva. O principal sinal de alerta é: urgência extrema e ameaça de bloqueio.;urgência extrema e ameaça de bloqueio;Alerta Laranja;15;45;sim
39;Phishing por e-mail;Ameaça de bloqueio;Difícil;Em um atendimento interno, mensagem diz que sua conta será bloqueada hoje se você não confirmar dados.;O que o colaborador deve fazer para evitar o golpe?;Compartilhar as informações pedidas para ganhar tempo.;Não usar o link recebido e confirmar o aviso pelo portal oficial da empresa.;Confiar apenas no nome exibido na mensagem.;Encaminhar o caso para um colega resolver sem registrar.;B;A opção correta reduz o risco porque mantém a validação no canal autorizado e evita ação impulsiva. O principal sinal de alerta é: urgência extrema e ameaça de bloqueio.;urgência extrema e ameaça de bloqueio;Alerta Vermelho;20;60;sim
40;Phishing por e-mail;Ameaça de bloqueio;Difícil;Você está analisando uma solicitação: mensagem diz que sua conta será bloqueada hoje se você não confirmar dados.;Qual decisão demonstra melhor comportamento de segurança?;Encaminhar o caso para um colega resolver sem registrar.;Fazer o procedimento fora do canal corporativo autorizado.;Assumir que é seguro porque a mensagem parece profissional.;Não usar o link recebido e confirmar o aviso pelo portal oficial da empresa.;D;A opção correta reduz o risco porque mantém a validação no canal autorizado e evita ação impulsiva. O principal sinal de alerta é: urgência extrema e ameaça de bloqueio.;urgência extrema e ameaça de bloqueio;Alerta Vermelho;20;60;sim
41;Phishing por e-mail;Remetente interno falso;Fácil;O e-mail parece vir de um gerente, mas o endereço real é externo.;Qual é a atitude mais segura nessa situação?;Ignorar o fluxo oficial porque parece uma solicitação simples.;Conferir o endereço completo e validar com o gerente por canal interno.;Compartilhar as informações pedidas para ganhar tempo.;Confiar apenas no nome exibido na mensagem.;B;A opção correta reduz o risco porque mantém a validação no canal autorizado e evita ação impulsiva. O principal sinal de alerta é: nome conhecido com endereço externo.;nome conhecido com endereço externo;Alerta Amarelo;10;35;sim
42;Phishing por e-mail;Remetente interno falso;Médio;No ambiente corporativo, o e-mail parece vir de um gerente, mas o endereço real é externo.;Antes de seguir, qual ação reduz melhor o risco?;Confiar apenas no nome exibido na mensagem.;Encaminhar o caso para um colega resolver sem registrar.;Fazer o procedimento fora do canal corporativo autorizado.;Conferir o endereço completo e validar com o gerente por canal interno.;D;A opção correta reduz o risco porque mantém a validação no canal autorizado e evita ação impulsiva. O principal sinal de alerta é: nome conhecido com endereço externo.;nome conhecido com endereço externo;Alerta Laranja;15;45;sim
43;Phishing por e-mail;Remetente interno falso;Médio;Durante a rotina de trabalho, o e-mail parece vir de um gerente, mas o endereço real é externo.;Qual resposta mantém o processo corporativo seguro?;Fazer o procedimento fora do canal corporativo autorizado.;Conferir o endereço completo e validar com o gerente por canal interno.;Assumir que é seguro porque a mensagem parece profissional.;Baixar o anexo e abrir para confirmar o conteúdo.;B;A opção correta reduz o risco porque mantém a validação no canal autorizado e evita ação impulsiva. O principal sinal de alerta é: nome conhecido com endereço externo.;nome conhecido com endereço externo;Alerta Laranja;15;45;sim
44;Phishing por e-mail;Remetente interno falso;Difícil;Em um atendimento interno, o e-mail parece vir de um gerente, mas o endereço real é externo.;O que o colaborador deve fazer para evitar o golpe?;Baixar o anexo e abrir para confirmar o conteúdo.;Clicar no link para verificar se a página parece legítima.;Responder ao e-mail pedindo mais detalhes ao remetente externo.;Conferir o endereço completo e validar com o gerente por canal interno.;D;A opção correta reduz o risco porque mantém a validação no canal autorizado e evita ação impulsiva. O principal sinal de alerta é: nome conhecido com endereço externo.;nome conhecido com endereço externo;Alerta Vermelho;20;60;sim
45;Phishing por e-mail;Remetente interno falso;Difícil;Você está analisando uma solicitação: o e-mail parece vir de um gerente, mas o endereço real é externo.;Qual decisão demonstra melhor comportamento de segurança?;Responder ao e-mail pedindo mais detalhes ao remetente externo.;Conferir o endereço completo e validar com o gerente por canal interno.;Inserir login e senha para liberar o suposto documento.;Aprovar o pedido porque menciona nota fiscal ou cobrança.;B;A opção correta reduz o risco porque mantém a validação no canal autorizado e evita ação impulsiva. O principal sinal de alerta é: nome conhecido com endereço externo.;nome conhecido com endereço externo;Alerta Vermelho;20;60;sim
46;Phishing por e-mail;Convite de reunião;Fácil;Você recebe convite de reunião com link para baixar um plugin obrigatório.;Qual é a atitude mais segura nessa situação?;Assumir que é seguro porque a mensagem parece profissional.;Baixar o anexo e abrir para confirmar o conteúdo.;Clicar no link para verificar se a página parece legítima.;Confirmar se a reunião existe no calendário oficial antes de baixar qualquer item.;D;A opção correta reduz o risco porque mantém a validação no canal autorizado e evita ação impulsiva. O principal sinal de alerta é: download de plugin por convite inesperado.;download de plugin por convite inesperado;Alerta Amarelo;10;35;sim
47;Phishing por e-mail;Convite de reunião;Médio;No ambiente corporativo, você recebe convite de reunião com link para baixar um plugin obrigatório.;Antes de seguir, qual ação reduz melhor o risco?;Clicar no link para verificar se a página parece legítima.;Confirmar se a reunião existe no calendário oficial antes de baixar qualquer item.;Responder ao e-mail pedindo mais detalhes ao remetente externo.;Inserir login e senha para liberar o suposto documento.;B;A opção correta reduz o risco porque mantém a validação no canal autorizado e evita ação impulsiva. O principal sinal de alerta é: download de plugin por convite inesperado.;download de plugin por convite inesperado;Alerta Laranja;15;45;sim
